"2020-11","2020-12","2021-01","2021-02","2021-03","2021-04","2021-05","2021-06","2021-07","2021-08","2021-09","2021-10","2021-11","2021-12","2022-01","2022-02","2022-03","2022-04","2022-05","2022-06","2022-07","2022-08","2022-09","2022-10","2022-11","2022-12","2023-01","2023-02","2023-03"
"1389.8","1403.6","1585.6","1458.8","1585.0","1684.6","1672.6","1884.6","1938.0","2006.0","1930.4","1967.0","2050.0","2045.5","2234.5","2227.0","2133.0","2205.0","2228.0","2197.5","2067.0","2212.0","2052.5","1941.5","2019.5","1998.5","1799.0","1903.0","1863.5"
"421.7","449.8","451.0","475.3","562.0","595.1","602.2","625.3","599.9","587.7","607.5","640.0","640.1","610.9","646.7","698.6","700.8","770.7","756.2","745.6","728.0","749.0","715.7","648.0","703.3","748.0","926.2","948.5","955.4"
"1753.6","1960.0","2087.0","2031.0","2281.0","2330.0","2143.0","2166.0","2188.0","2310.0","2288.0","2417.0","2770.0","2779.0","2994.0","2554.0","2355.0","2506.0","2232.0","2474.0","2162.0","2264.0","2200.0","1901.8","2010.0","2265.0","2033.0","2294.0","2287.0"
"9293.3","12240.0","12636.7","13430.0","14820.0","16326.7","16250.0","16226.7","15980.0","15516.7","15826.7","16300.0","18370.0","19976.7","22806.7","18456.7","19216.7","20560.0","18263.3","19450.0","14220.0","15533.3","14226.7","12446.7","13233.3","15633.3","12803.3","15376.7","15856.7"
"790.2","819.3","843.0","884.2","1005.7","1023.3","1052.0","994.8","1001.7","1051.7","1110.7","1140.0","1220.3","1143.3","1236.7","1285.3","1291.3","1523.0","1465.7","1491.0","1273.3","1353.7","1466.7","1348.7","1407.0","1514.3","1404.7","1454.3","1591.3"
"703.6","793.4","805.0","895.0","1017.8","985.2","1078.2","1170.4","1269.4","1236.8","1235.0","1292.2","1359.8","1352.2","1296.2","1160.4","1132.6","1219.6","1296.0","1359.2","1267.4","1322.8","1392.2","1250.8","1403.8","1464.4","1310.8","1341.2","1395.8"
"48190.0","52850.0","57660.0","57680.0","50630.0","51910.0","53310.0","53910.0","56230.0","62520.0","67090.0","64980.0","69850.0","70460.0","73820.0","59410.0","54140.0","58160.0","52240.0","51630.0","45610.0","54770.0","51730.0","48430.0","58260.0","58390.0","50340.0","59580.0","59230.0"
"988.2","1019.0","1053.0","1105.0","1263.3","1321.3","1312.0","1325.3","1279.7","1249.3","1285.7","1277.3","1275.0","1244.7","1345.0","1384.7","1365.3","1310.3","1290.0","1333.7","1338.3","1387.3","1397.3","1340.7","1397.0","1542.0","1791.7","1893.0","1974.3"
"839.3","899.5","937.5","965.5","1144.5","1123.3","1228.0","1219.8","1238.3","1283.0","1223.0","1199.0","1333.8","1279.8","1381.5","1417.0","1413.0","1648.0","1596.0","1641.5","1414.8","1512.0","1587.0","1558.5","1739.5","1964.5","1872.0","1932.0","1981.5"
"2838.0","3523.0","3567.0","3654.0","3569.0","3779.0","3723.0","3788.0","3765.0","3661.0","3680.0","3685.0","4092.0","3793.0","4131.0","3822.0","3600.0","3753.0","3579.0","3716.0","3082.0","3489.0","3219.0","2990.0","3125.0","3570.0","3163.0","3851.0","3815.0"
