"2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2024-01","2024-02","2024-03"
"24957893646336.0","25650048478208.0","31026008337408.0","32067600560128.0","33801347614720.0","35985331307520.0","34809340088320.0","37557799566336.0","34816060038144.0","40319698944000.0","48665876625408.0","50964099465216.0"
"9942511142707.2","10870432220160.0","12415024465920.0","13359265763328.0","13563268512768.0","14787285009408.0","14653226059776.0","14629911459840.0","14122818911232.0","16261933455360.0","17975556550656.0","18150416050176.0"
"15518295642112.0","15917441204224.0","15681582462976.0","16104918665216.0","14689766217728.0","14804671758336.0","15028435179520.0","15506200322048.0","16219824205824.0","17774072834048.0","15657391822848.0","15705773103104.0"
"7139569417920.0","8899695599040.0","9473349288960.0","9788974009920.0","9941026795200.0","9418057367040.0","9102432646080.0","11069903534400.0","11636645734080.0","12839245035840.0","16988443009920.0","18232511253120.0"
"6713749551052.8","7473546759168.0","9271693347840.0","9720025878988.799","9627710317516.799","9536598872064.0","9305007224371.201","9212691662899.201","9044918164224.0","10295191964160.0","12863972805120.0","13995841863168.0"
"6892472741376.0","7409062882713.601","8191775218073.601","8561952110796.8","8926603975270.4","8540772835840.0","8726782120243.2","9470819257856.0","9364922883072.0","10750784135680.0","11662413796864.0","12804252968448.0"
"14818277011200.0","16443194457600.0","16455320707200.0","15463393489920.0","14677612515840.0","13460137056000.0","14102828284800.0","15363958243200.0","15065652503040.0","16147313967360.0","16986450439680.0","16865187943680.0"
"7241353536000.0","7409693376000.0","8037248640000.0","8735271744000.001","8718437760000.0","9587541120000.0","9421941696000.0","9471269184000.0","8977994304000.0","10048322496000.0","10888455744000.0","11626019136000.0"
"6230585564672.0","6488413059072.0","7972026126848.0","8163555122688.0","8002965426176.0","7989705726464.0","7980865926656.0","7944033427456.0","7805543230464.0","8885472107008.0","9654534690304.0","10469269572608.0"
"7664848648192.0","8525978421248.0","9460522483712.0","9283931355136.0","9244247955456.0","8617250240512.0","8865271488512.0","10341493956608.0","11740333795328.0","11656998656000.0","12672893687808.0","13063775174656.0"
"5812365463552.0","6520671505920.0","6935623329024.0","7498012246784.0","7934243650560.0","7005541951232.0","6586030217984.0","8367435114240.0","9063581396224.0","9008862474496.0","9186698970112.0","10194439111936.0"
"13957777883136.0","13301930488627.2","14336151379968.0","13697120585318.4","14151168781516.8","14849057675673.6","14865874275532.8","14554767178137.6","14487500778700.8","15664662768844.8","15328330771660.8","15118123273420.8"
"6446065135616.0","6774682436608.0","8160902142976.0","8251307776000.0","7852374982656.0","7757664319488.0","7710308987904.0","8234087655424.0","8275702946816.0","9689187844096.0","9350525472768.0","9278774970368.0"
"6660617040000.0","6910928640000.0","7616458080000.0","7509348000000.0","7296292080000.0","7253215200000.0","7242737040000.0","8047226880000.0","8567642160000.0","9674834400000.0","9779616000000.0","9542111040000.0"
"5334382530560.0","6165918630912.0","6501278709120.0","6391453186432.0","6328695744896.0","6795454216320.0","6556191470464.0","7154348335104.0","6920969099392.0","7707398288640.0","8582080130048.0","9223382735744.0"
"8835201764352.0","8631765872640.0","8650778572800.0","8264820759552.0","8173559798784.0","7806614685696.0","7335099721728.0","7605080064000.0","7361717501952.0","8409317280768.0","9456917059584.0","9082366866432.0"
"5644940580864.0","6300999728640.0","6829622926848.0","7100070330931.2","7399308819916.8","7938787673088.0","7110454000896.0","7122253625856.0","6919300076544.0","7908108648192.0","8410772671488.0","8925236319744.0"
"4981117674240.0","5204190628608.0","5574288939264.0","6093947526144.0","6109157045760.0","6441231557376.0","6452638697088.0","6367718879232.0","6115494345600.0","6849353667072.0","7100310740736.0","7721366125056.0"
"7387471701504.0","7940009337600.0","9822407898368.0","10502565775872.0","9491755454720.0","9187207151360.0","8881208617984.0","8730384696320.0","9126297490688.0","9368485903360.0","12747521840640.0","12996961403392.0"
"7151204376576.0","7006975742208.0","7174978327296.0","6880181338368.0","7144864656384.0","7355660352768.0","6439570785024.0","6601233649920.0","6425306414592.0","6913464869376.0","6953088120576.0","6631347320832.0"
"4943886360000.0","6111144540000.0","5940665700000.0","5751051480000.0","5620582980000.0","5331812700000.0","4987375860000.0","5798020140000.0","6132019500000.0","6591268620000.0","6779143260000.0","6519945840000.0"
"8577901440000.0","8664730480000.0","8985796000000.0","8454725360000.0","8733386000000.0","9242244560000.0","9060509360000.0","9339170000000.0","9058490080000.0","9888414160000.0","9195801120000.0","9050412960000.0"
"3504761470592.0","3796998877312.0","4231180167296.0","4281278008448.0","3963991681152.0","3859621178752.0","3501630355520.0","4193606786432.0","4172732685952.0","4598564335744.0","4971167029312.0","5243574040576.0"
"7239006517657.6","7021647314124.8","7276808118272.0","7456365721190.4","7891084128256.0","7990313329868.8","8056466130944.0","8500634938163.2","8316352135168.0","9280292950835.201","9322819751526.4","9218865349836.799"
"2936572764672.0","3190059371264.0","3679488165376.0","3686747924992.0","3628669848064.0","3610520449024.0","3555467271936.0","3750875801600.0","3721836763136.0","4132013181440.0","4243329495552.0","4418773686272.0"
"4918127843891.199","5117159705088.0","5140189732300.801","5195798822400.0","5108359613388.801","5119032065024.0","4638771741440.0","5398949875456.0","5603973288448.0","5645165207040.0","5660144086528.0","5287544459264.0"
"7207899313920.0","7775865384960.0","8567797458240.0","8399456999040.0","7385022753600.0","6872682225600.0","6332528926080.0","6486231084480.0","6729226877760.0","6992716292160.0","6199320388800.0","6030979929600.0"
"5190820284672.0","5397671854080.0","5598308998656.0","5598308998656.0","5665779896832.0","6107891834880.0","6251711380992.0","6748865367552.0","6471879575040.0","6915767063040.0","6910440413184.0","7198079505408.0"
"4345024300000.0","4815120656000.0","5097306736000.0","4755476780000.0","4527803920000.0","4295641736000.0","4404668176000.0","4774716740000.0","4858731232000.0","5317283612000.0","5781607980000.0","5440419356000.0"
"1723133479219.2002","1984947596697.6","2255500054425.6","2262221854617.6","2779464379392.0","2805007220121.6","2585204353843.2","2778792199372.8","2769717769113.6","3341406875443.2","3974264363520.0","4868263789056.0"
