"2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2024-01","2024-02","2024-03"
"1857.0","1908.5","2308.5","2386.0","2515.0","2677.5","2590.0","2794.5","2590.5","3000.0","3621.0","3792.0"
"852.9","932.5","1065.0","1146.0","1163.5","1268.5","1257.0","1255.0","1211.5","1395.0","1542.0","1557.0"
"12830.0","13160.0","12965.0","13315.0","12145.0","12240.0","12425.0","12820.0","13410.0","14695.0","12945.0","12985.0"
"15495.0","19315.0","20560.0","21245.0","21575.0","20440.0","19755.0","24025.0","25255.0","27865.0","36870.0","39570.0"
"5018.0","5586.0","6930.0","7265.0","7196.0","7128.0","6955.0","6886.0","2253.5","2565.0","3205.0","3487.0"
"7485.0","8046.0","8896.0","9298.0","9694.0","9275.0","9477.0","10285.0","10170.0","11675.0","12665.0","13905.0"
"61100.0","67800.0","67850.0","63760.0","60520.0","55500.0","58150.0","63350.0","62120.0","66580.0","70040.0","69540.0"
"5549.0","5678.0","6159.0","6694.0","6681.0","7347.0","7220.0","7258.0","6880.0","7700.0","8344.0","8909.0"
"4229.0","4404.0","5411.0","5541.0","5432.0","5423.0","5417.0","5392.0","5298.0","6031.0","6553.0","7106.0"
"3863.0","4297.0","4768.0","4679.0","4659.0","4343.0","4468.0","5212.0","5917.0","5875.0","6387.0","6584.0"
"3824.0","4290.0","4563.0","4933.0","5220.0","4609.0","4333.0","5505.0","5963.0","5927.0","6044.0","6707.0"
"4149.0","3955.0","170.5","162.9","168.3","176.6","176.8","173.1","172.3","186.3","182.3","179.8"
"4492.0","4721.0","5687.0","5750.0","5472.0","5406.0","5373.0","5738.0","5767.0","6752.0","6516.0","6466.0"
"5721.0","5936.0","6542.0","6450.0","6267.0","6230.0","6221.0","6912.0","7359.0","8310.0","8400.0","8196.0"
"2720.0","3144.0","3315.0","3259.0","3227.0","3465.0","3343.0","3648.0","3529.0","3930.0","4376.0","4703.0"
"4647.0","4540.0","4550.0","4347.0","4299.0","4106.0","3858.0","4000.0","3872.0","4423.0","4974.0","4777.0"
"3588.0","4005.0","4341.0","4513.0","4703.0","1682.0","1506.5","1509.0","1466.0","1675.5","1782.0","1891.0"
"1965.0","2053.0","2199.0","2404.0","2410.0","2541.0","2545.5","2512.0","2412.5","2702.0","2801.0","3046.0"
"5094.0","5475.0","6773.0","7242.0","6545.0","6335.0","6124.0","6020.0","6293.0","6460.0","8790.0","8962.0"
"4512.0","4421.0","4527.0","4341.0","4508.0","4641.0","4063.0","4165.0","4054.0","4362.0","4387.0","4184.0"
"14210.0","17565.0","17075.0","16530.0","16155.0","15325.0","14335.0","16665.0","17625.0","18945.0","19485.0","18740.0"
"4248.0","4291.0","4450.0","4187.0","4325.0","4577.0","4487.0","4625.0","4486.0","4897.0","4554.0","4482.0"
"1679.0","1819.0","2027.0","2051.0","1899.0","1849.0","1677.5","2009.0","1999.0","2203.0","2381.5","2512.0"
