"2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2024-01","2024-02","2024-03"
"25495489632256.0","25186371940352.0","26113725016064.0","31254486631424.0","32867274589184.0","33861827163136.0","36113010354176.0","36449007845376.0","38075235702784.0","35414135572480.0","39580504463360.0","49458830704640.0"
"10036935272448.0","10133690862182.4","11236471439155.2","12653999115264.0","13207720863744.0","13790585862144.0","15014602358784.0","15067060208640.0","14839742859264.0","14280192460800.0","16191989655552.0","18307789599744.0"
"14550670036992.0","15234055620608.0","16219824205824.0","16123061645312.0","16304491446272.0","15161483700224.0","14762338138112.0","15475962021888.0","15385247121408.0","15838821623808.0","17405165572096.0","15983965464576.0"
"7238634111360.0","7141873248000.0","9093217325760.0","9846569761920.0","10065433619520.0","9876519552960.0","9298258202880.0","9395019066240.0","10989269481600.0","11060688214080.0","12735572682240.0","17684199694080.0"
"6425965822464.0","6756294983731.2","7729220727244.8","9507298715596.799","9774612471859.201","9813545556480.0","9533789268019.201","9626104829491.201","9334708752844.799","9181384646400.0","10281143943936.0","13116837169152.0"
"6776447148134.399","7164119963648.0","7400775340339.2","8334505114521.601","8829915980902.4","9133792534630.4","8561952110796.8","8878720397107.201","9627361724928.0","9364922883072.0","10852076320256.0","11915644258304.0"
"15443991490560.0","15240270497280.0","16595985202560.0","16884589943040.0","14920137507840.0","14697014515200.0","13464987555840.0","14408409774720.0","15196615998720.0","14694589265280.0","16132762467840.0","17202297682560.0"
"6999805440000.0","7375633920000.0","7453931520000.0","8099886720000.0","8529349055999.999","8860547904000.0","9656834496000.0","9720647040000.0","9573056064000.0","9108751296000.0","9968458944000.0","11027042496000.0"
"6033163368960.0","6360235961856.0","6609223656448.0","8145875523072.0","8352137518592.0","8103149824000.0","7942560127488.0","8070737224704.0","8022118325760.0","7963186327040.0","8931144406016.0","9890262685184.0"
"8297798873088.0","7875170666496.0","8543835951104.0","9849419800576.0","9275994675200.0","9216469575680.0","8654949470208.0","9158928646144.0","10315699746816.0","11359373158400.0","11528027607040.0","13063775174656.0"
"5674048189184.0","5818445343744.0","6581470307840.0","6987302310656.0","7531451587840.0","8101440355840.0","6976662520320.0","6803385934848.0","8312716192512.0","8799106607872.0","9008862474496.0","9516532470528.0"
"13335563688345.6","14058677482291.2","13419646687641.6","14395009479475.2","13646670785740.8","14176393681305.6","14714524876800.0","14991998774476.8","14563175478067.2","14521133978419.2","15740337468211.2","15193797972787.2"
"6179153266688.0","6527860708352.0","6869393099776.0","8327363308544.0","8255612806144.0","8060451439616.0","7717484038144.0","7970045806592.0","8450774172672.0","8347453449216.0","9682012793856.0","9479676377088.0"
"6022613520000.0","6625689840000.0","6931884960000.0","7668848880000.0","7519826160000.0","7297456320000.0","7136791200000.0","7346354400000.0","8043734160000.0","8354586240000.0","9674834400000.0","9877412160000.0"
"5054915798720.0","5366741836352.0","6058054278272.0","6560113810560.0","6373802656000.0","6399297866624.0","6652288802816.0","6707201564160.0","7197494076160.0","6881745698432.0","7617184466432.0","8723284373504.0"
"9183134177280.0","8755348423680.0","8818090334208.0","8704014133248.0","8435935060992.0","8150744558592.0","7707748644864.0","7734366425088.0","7816121035776.0","7627895304192.0","8840905574400.0","9500646269952.0"
"5596326126028.8","5696858930688.0","6258521078784.0","6979242171340.8","7224674370508.8","7425739979827.2","7969466697984.0","7403084699904.0","7219010550528.0","7065615426048.0","7761793298688.0","8521689146112.0"
"4858174057344.0","5074909711872.0","5254889027328.0","5585696078976.0","6145913384832.0","6210553843200.0","6507139475712.0","6692188631040.0","6400672838400.0","6227030822784.0","6769503689088.0","7195370238336.0"
"7567300223488.0","7487537572608.0","8302566841600.0","9910871929344.0","10514167616000.0","9426495104000.0","9063937600000.0","8972573108992.0","8585361694720.0","8773891596800.0","9280021872384.0","12917198752512.0"
"6894445708800.0","7205091998208.0","7000636022016.0","7206676928256.0","6997466161920.0","7148034516480.0","7252639899648.0","6534666587904.0","6610743230208.0","6696329452800.0","6824708786688.0","6956257980672.0"
"5135240160000.0","5044782000000.0","6208561020000.0","6020686380000.0","5862384600000.0","5648416260000.0","5274406560000.0","5260489920000.0","5728436940000.0","5912832420000.0","6453841800000.0","6935705460000.0"
"8295202240000.0","8634441280000.0","8771752320000.0","8967622480000.0","8539535120000.0","8785887280000.0","9102914240000.0","9161473360000.0","9262437360000.0","9181666160000.0","9888414160000.0","9193781840000.0"
"3312719746176.0","3658186109120.0","3858577473728.0","4266666138112.0","4008870997184.0","3952510925888.0","3831441143104.0","4009914702208.0","4290671353664.0","4206131246720.0","4507761998656.0","5075537531712.0"
"7209119670681.6","7256330670489.6","7081649971200.0","7279936170393.6","7459337969664.0","7888958067916.8","7926726867763.2","8063638767206.4","8502701065420.8","8436605665689.6","9328893562060.799","9305288062156.799"
"2868210028288.0","2996465781504.0","3234222908928.0","3726676602880.0","3701267444224.0","3683118045184.0","3587531210240.0","3641979407360.0","3828313237504.0","3794434359296.0","4105394062848.0","4298987652608.0"
"5010435188736.0","4863829405747.199","5131576876595.199","5248224900608.0","5422916082636.801","5090384958003.199","5115287345152.0","5143372744192.0","5331544917760.0","5444822693888.0","5616143628032.0","5671378246144.0"
"6837550303680.0","7364529132480.0","7998367557120.0","9146010339840.0","8441908071360.0","7487490859200.0","6923916278400.0","6521363006400.0","6427677881280.0","6733618368000.0","6834622643520.0","6257873592000.0"
"4962662115840.0","5240535683328.0","5434958403072.0","5591206798848.0","5513082600960.0","5685310946304.0","6123871784448.0","6502063924224.0","6837642865152.0","6585514771968.0","6929971462656.0","6887358263808.0"
"4427114796000.0","4451485412000.0","4848469920000.0","5226855800000.0","4751628788000.0","4600915768000.0","4375166904000.0","4594502448000.0","4746498132000.0","4836284612000.0","5276879696000.0","5864981140000.0"
"1688852298240.0","1759767290265.6","1989316766822.4","2298519575654.4","2299863935692.8","2799629779968.0","2745855378432.0","2717623817625.6","2831222240870.4","2813409470361.6","3303428704358.4","4012914714624.0"
"3000298917888.0","3216738392064.0","3330348384256.0","4118984169472.0","4159618400256.0","4012837607424.0","3866056814592.0","3730056531968.0","3929081335808.0","3778154192896.0","4196935550976.0","4154642780160.0"
"9098907655360.0","9845775686400.0","10039010536320.0","11314973989760.0","11020520885120.0","10223043726720.0","9959262820480.0","10370270279040.0","11379385606400.0","10597244547200.0","11971359035520.0","13609254430080.0"
"7393227767808.0","8012607221760.0","8541865326592.0","9330017488896.0","8856470763520.0","8610685265920.0","8096174290944.0","8294441259008.0","8314104098816.0","8441912557568.0","9012134912000.0","8830253643776.0"
"3358000000000.0","3452760000000.0","3473000000000.0","3434360000000.0","3337760000000.0","3379160000000.0","3231040000000.0","3611000000000.0","3882400000000.0","3945880000000.0","3878720000000.0","4358960000000.0"
"4498206419968.0","4379956052992.0","4450343176192.0","4828556651520.0","3960448798720.0","3901323615232.0","3709870640128.0","3571911878656.0","3849706391552.0","3883492210688.0","3756795388928.0","4176302643200.0"
"3046408147200.0","3164571857152.0","3046408147200.0","3654766622656.0","3737850481216.0","3885555118656.0","3728618941376.0","3227346328064.0","3486752597568.0","3461827440000.0","3816318569856.0","4057261759680.0"
"1596201720000.0","1679642000000.0","2230131120000.0","2554139480000.0","3003850080000.0","3042319300000.0","3049362960000.0","2832634960000.0","3427553320000.0","3644281320000.0","4334560000000.0","5427952760000.0"
"5443270919680.0","5928799042355.2","6304297410611.2","7035500434688.0","7328039861120.0","7258179699584.0","6999114933888.0","6869582551040.0","6789534449280.0","6306334998656.0","6680377946880.0","8058660717184.0"
"5198916983808.0","5434995549440.0","5143659033830.4","5376105621529.601","5140027055897.6","5182573083110.4","4993969657600.0","4756075103001.6","5004346737408.0","4881637768678.4","5078802285030.4","5680154059904.0"
"2334930168576.0","2495063619993.6","2489474319769.6","2705221308416.0","2725622254233.6","3026606071296.0","3053714177382.4","3116034874880.0","3255767380480.0","3203507423385.6","3415900831897.6","3860250199705.6"
"2838429589664.0","3053252839360.0","3334285472000.0","3658187489280.0","3536247906304.0","3426692812224.0","3412403017344.0","3453367096000.0","3671524631168.0","3493378521664.0","3843002169728.0","4179288675904.0"
"3645147816000.0","3749920992000.0","3838943952000.0","4065610104000.0","4075881984000.0","3877292304000.0","3999185280000.0","3981380688000.0","4187503080000.0","4036848840000.0","4337472528000.0","4418277984000.0"
"2541679033344.0","2663501183232.0","2726414030592.0","3036402787584.0","3137063343360.0","3147358172928.0","3157653002496.0","3209699085312.0","3105034984704.0","3075294365952.0","3221709719808.0","3622636137984.0"
"2712431016000.0","2859690000000.0","3444511656000.0","3493397304000.0","3331328136000.0","3462091224000.0","3471362640000.0","3346981176000.0","3485811600000.0","3428858616000.0","3752274504000.0","3919280400000.0"
"2190424078899.2","2379130706995.1997","2550393865267.1997","2739734801356.8003","2803641331712.0","2817437530572.8003","2885625639884.8003","2972842989004.8003","2950642209228.8003","2956350981171.1997","3207536946636.8003","3968072230963.2"
"2016432000000.0","2084775000000.0","2035869000000.0","2181960000000.0","2188230000000.0","2363790000000.0","2432133000000.0","2449689000000.0","2492952000000.0","2423982000000.0","2528064000000.0","3005838000000.0"
"3396222069760.0","3508390872064.0","3089938923468.8003","3245105766656.0","3227968866304.0","3503717171968.0","3835549878784.0","4214119586560.0","4064561183488.0","4024055782656.0","4377699089920.0","4633194695168.0"
"3981381167616.0","3927138917376.0","3753563716608.0","4057320317952.0","4189309793536.0","4250784343808.0","4742580745984.0","5116852272640.0","5303083998464.0","5196407572992.0","5532709524480.0","5916021426176.0"
"2272560077760.0","2331503885248.0","2255982131904.0","2535044220480.0","2650629342976.0","2517084779136.0","2878115600000.0","3009818169856.0","2902061521792.0","2807198831616.0","2895614542848.0","3229015453952.0"
"3401849518848.0","3194943979392.0","4263508085760.0","5015891865600.0","4912886943360.0","4415776231680.0","4084369090560.0","3608755058304.0","4590436752000.0","4468622235264.0","4305605749632.0","4637908585728.0"
"2835286743296.0","3039558122496.0","3416584725248.0","4189314171136.0","4058580488448.0","4022395272704.0","3922010480640.0","3125935734272.0","3521638577408.0","3352385148928.0","3226320526336.0","3423588315392.0"
"3953341390080.0","3919965291008.0","4013188188416.0","4546054873600.0","4868882314624.0","4383777978112.0","3967152189696.0","3183964761472.0","3194322861184.0","3292724808448.0","3121240713216.0","3289272108544.0"
"2952077308096.0","2746217476576.0","2608977588896.0","2858375591680.0","3114872209344.0","3318365835904.0","3312686944000.0","3140427222912.0","3292810822336.0","3136641294976.0","3356225115264.0","3581487827456.0"
"2813253603148.8","2995396133452.8","2901044040115.2","3020963966899.2","3069271333632.0","3124366620748.8","3130023221068.8","3030806451456.0","3006256806067.2","3108075611827.2","3317369823667.2","3361491306163.2"
"2048158215840.0","1604886633680.0","1997653213600.0","2031924465120.0","1990438213280.0","2056275091200.0","2133385407120.0","2451296358720.0","3069982636160.0","3176403890880.0","3407283901120.0","3679650163200.0"
"5347777344000.0","5828254569984.0","6272531457024.0","6785918082048.0","7154503351296.0","7264749838080.0","7460560762368.0","7611943997952.0","8571252979968.0","8852628341760.0","8737445445120.0","10052175936768.0"
"1372887000000.0","1586151000000.0","1772757000000.0","1883654280000.0","1912711500000.0","2071593180000.0","2179024920000.0","1874857140000.0","2227809060000.0","2257932600000.0","2554636140000.0","2755104300000.0"
"2689823947968.0","3049160075712.0","3193191498816.0","3395874893184.0","3474572474880.0","3283767960768.0","2897704352448.0","3102615036864.0","3489421075200.0","3482739205056.0","3723286530240.0","4398155414784.0"
"1520776746598.4001","1446895248998.4001","1457829710643.2","1651399234355.2","1750991493120.0","1709322328473.5999","1772564890419.2","1762812532736.0","1788818819891.2","1898754488320.0","2390214210355.1997","2574326902374.4"
"2431109256000.0","2568132036000.0","2292693024000.0","2465945556000.0","2515180860000.0","2635482216000.0","2568132036000.0","2600645916000.0","2654526060000.0","2714444496000.0","2707941720000.0","2650345704000.0"
"2148779013120.0","1986328366080.0","3321008113920.0","3744708937881.6","3749287092480.0","3369004896000.0","3175910149632.0","2650899194880.0","3412940411904.0","3407771527680.0","4388382706176.0","5256755255808.0"
"2282258081280.0","2524832605696.0","2839962903040.0","2864328647680.0","2893567541248.0","2993737824768.0","2837255598080.0","2885987087360.0","3099322718208.0","2973162307072.0","3106361711104.0","3278004845568.0"
"3164527945728.0","3362310942336.0","3338695062144.0","3575837859072.0","3598469744256.0","3684077309952.0","3510894188544.0","3416430667776.0","3469566398208.0","3581741829120.0","3596501754240.0","3706709195136.0"
"1718704128800.0","1854977888800.0","1883498040000.0","2124215903200.0002","2030479024000.0","2093067615200.0002","2059388528799.9998","2140179400799.9998","2217660767200.0","2269639472800.0","2482129200000.0","2897082799200.0"
"2359091248000.0","2494630664000.0","2759159264000.0","2906791416000.0","2821134536000.0","3089694048000.0","2881598216000.0","2816095896000.0","2787879512000.0","2769236544000.0","3029230368000.0","2798964520000.0"
"2342566786713.6","2330991887001.6","2197880540313.5999","2534517206937.6","2727432202137.6","2782798805760.0","2869610553600.0","2870189298585.6","2921697602304.0","2868645978624.0","3301354312857.6","3191778595584.0"
"2335297634432.0","2414745306624.0","2238452661760.0","2472736308224.0","2528407669760.0","2737755185536.0","2530727309824.0","2392708726016.0","2455339007744.0","2487813968640.0","2585238851328.0","2580599571200.0"
"3362251949888.0","3746176913024.0","4002126888448.0","3838354701376.0","3813296661824.0","3937691929600.0","3712169573632.0","3479487777792.0","3233382032192.0","3130465084032.0","3028443065856.0","2997120516416.0"
"2728178062080.0","2760985266624.0","2470900510656.0","2661988088000.0","2690190772608.0","2305137792960.0","2245279033792.0","2350031862336.0","2524428054912.0","2328160392640.0","2492771980352.0","2448453475968.0"
"2271518681600.0","2443417392640.0","2685917360000.0","3209287542720.0","3252262220480.0","3183195774080.0","3594524832640.0","3596059642560.0","3965948833280.0","3574572303680.0","3858512138880.0","4701122784960.0"
"1378345031168.0","1397631993856.0","1348741786112.0","1460875290112.0","1568971987968.0","1775297635328.0","1753768002560.0","1710260203008.0","1790547791872.0","2121565895680.0","2287523481600.0","2149823538688.0"
"2513673531622.4","2683308874265.6","2720397605094.4","2864192438553.6","2852640210918.4","2931073756441.6","2818135531008.0","2827711719705.6","2787734931968.0","2706109323545.6","2786670911001.6","2614451517440.0"
"2014740160000.0","2212388720000.0","2286347536000.0","2430439712000.0","2481445792000.0","2603860384000.0","2556679760000.0","2696308904000.0","2700771936000.0","2768354992000.0","2860803512000.0","2793858032000.0"
"2425396352000.0","2527804480000.0","2745439360000.0","2755722432000.0","2625423232000.0","2646552832000.0","2655990720000.0","2660639232000.0","2878274112000.0","2893346560000.0","3041253760000.0","3152536320000.0"
"2207631828384.0","2396417098176.0","2351468224416.0","2540253494208.0","2665254171712.0","2596760649792.0","2499585465568.0","2720905158272.0","2630151241728.0","2738028538752.0","3000872429120.0","2996591584000.0"
"1666595971584.0","1783531137984.0","1803679966656.0","1854052038336.0","1969548002688.0","1992935035968.0","2028915087168.0","2058418729152.0","2010565261056.0","1983220422144.0","2119225015680.0","2255949210240.0"
"1369969296000.0","1385371824000.0","1328610656000.0","1440136368000.0","1486058720000.0","1587601312000.0","1640939695999.9998","1621543920000.0","1673741375999.9998","1669748128000.0","1708254448000.0","1871692384000.0002"
"1703825929728.0","1812285150912.0","1897517923200.0","2022360086016.0","1990008960768.0","2106970721280.0","2091417295680.0","2200291274880.0","2144298942720.0","2129782412160.0","2234508811200.0","2330940049920.0"
"1520301678105.5999","1566056311372.8","1485407993139.2","1597252652236.8","1725735359795.2","1807308014054.4001","1941336737766.4001","1923543269273.5999","1808232350080.0","1665191350118.4001","1860226251520.0","1948731425971.2"
"1774115735040.0","1831039234560.0","2011296983040.0","2182067481600.0","2106169482240.0","1989286563225.6","2121728572108.8","2196867591475.2","2566111358361.6","2487936419020.8003","2978996474880.0","3019981394534.4"
"1814788800000.0","1823407200000.0","1829563200000.0","1986541200000.0","2276488800000.0","2586751200000.0","2739420000000.0","2735110800000.0","2567052000000.0","2439622800000.0","2510416800000.0","2546121600000.0"
"1576636405760.0","1637417949440.0","1759717782784.0","2028630066944.0","2027156574976.0","2066940858112.0","2153876884224.0","2007632806400.0","1960112690432.0","1988477410816.0","2164559700992.0","2482097220096.0"
"1185322680000.0","1178073000000.0","1147261860000.0","1278118584000.0","1383238944000.0","1494884016000.0","1490171724000.0","1433261736000.0","1480747140000.0","1766022048000.0","1927327428000.0","1875854700000.0"
"1759880183328.0","1821448446048.0","1768629357504.0","1912504666176.0","1885933100160.0","1955278406592.0","1888525448064.0","1920281709888.0","1988330842368.0","2068045540416.0","2149704499392.0","2189237804928.0"
"2072809830000.0","1918722480000.0","1962045590000.0","2156329640000.0","1994202950000.0","1919169110000.0","1790986300000.0","2015194560000.0","2020554120000.0","1958025920000.0","1870486440000.0","1841902120000.0"
"3151286772992.0","3275016119680.0","3141904452864.0","3187056868480.0","3085610532096.0","3415164526592.0","3061568336768.0","3049254041600.0","2792999423104.0","3032834981376.0","3027557426304.0","2905587264640.0"
"1696175648256.0","1784062495360.0","1696580656768.0","1708730912128.0","1716426073856.0","1675520214144.0","1699820724864.0","1737486516480.0","1696985665280.0","1689695512064.0","1713591014272.0","1691720554624.0"
"1325382239808.0","1353457415232.0","1275080883840.0","1383482255616.0","1441192338432.0","1393620513408.0","1404538637184.0","1261043296128.0","1441582271424.0","1438072874496.0","1521908467776.0","1739881010304.0"
"1071851982515.2","1153517886259.2","1185247950771.2","1302805238963.2","1292922104115.2","1334015138483.2","1450740162688.0","1593785535488.0","1563095800960.0","1558206250035.2","1728508268416.0","2098865742720.0"
